id,dataset_code,database_code,name,description,refreshed_at,newest_available_date,oldest_available_date,column_names,frequency,type,premium,database_id
26697787,HPI,FMAC,House Price Index - All States and US National,"The FMHPI provides a measure of typical price inflation for houses within the U.S. Values are calculated monthly but are released at the end of the following quarter. For example, the FMHPI for October, November, and December are published in late February of the following year. Series are available at three levels of geographical aggregation: Metropolitan Statistical Area (MSA), state, and national. All series begin in January, 1975. The national index is defined as a weighted average of the 50 state indexes and Washington, DC. The FMHPI is based on an ever expanding database of loans purchased by either Freddie Mac or Fannie Mae.",2016-03-19 02:44:31 UTC,12/31/15,1/31/75,"[""Date"", ""AK"", ""AL"", ""AR"", ""AZ"", ""CA"", ""CO"", ""CT"", ""DC"", ""DE"", ""FL"", ""GA"", ""HI"", ""IA"", ""ID"", ""IL"", ""IN"", ""KS"", ""KY"", ""LA"", ""MA"", ""MD"", ""ME"", ""MI"", ""MN"", ""MO"", ""MS"", ""MT"", ""NC"", ""ND"", ""NE"", ""NH"", ""NJ"", ""NM"", ""NV"", ""NY"", ""OH"", ""OK"", ""OR"", ""PA"", ""RI"", ""SC"", ""SD"", ""TN"", ""TX"", ""UT"", ""VA"", ""VT"", ""WA"", ""WI"", ""WV"", ""WY"", ""United States not seasonaly adjusted"", ""United States seasonaly adjusted""]",monthly,Time Series,FALSE,582
4152352,FIX30YR,FMAC,30-Year Fix Rate,"Freddie Mac's Primary Mortgage Market Surveyå¨ (PMMSå¨) surveys lenders each week on the rates and points for their most popular 30-year fixed-rate, 15-year fixed-rate, 5/1 hybrid amortizing adjustable-rate, and 1-year amortizing adjustable-rate mortgage products. The survey is based on first-lien prime conventional conforming mortgages with a loan-to-value of 80 percent. In addition, the adjustable-rate mortgage (ARM) products are indexed to U.S. Treasury yields and lenders are asked for both the initial coupon rate and points as well as the margin on the ARM products.  For more information, see http://www.freddiemac.com/pmms/abtpmms.htm. Freddie Mac was chartered by Congress in 1970 with a public mission to stabilize the nation's residential mortgage markets and expand opportunities for homeownership and affordable rental housing.",2016-03-19 02:40:32 UTC,12/31/15,4/2/71,"[""Week"", ""US Interest Rate"", ""Fees & Points"", ""Regional Rates: NE"", ""Regional Rates: SE"", ""Regional Rates: NC"", ""Regional Rates: SW"", ""Regional Rates: W"", ""Regional Fees/Points: NE"", ""Regional Fees/Points: SE"", ""Regional Fees/Points: NC"", ""Regional Fees/Points: SW"", ""Regional Fees/Points: W""]",weekly,Time Series,FALSE,582
4152356,FIX15YR,FMAC,15-Year Fix Rate,"Freddie Mac's Primary Mortgage Market Surveyå¨ (PMMSå¨) surveys lenders each week on the rates and points for their most popular 30-year fixed-rate, 15-year fixed-rate, 5/1 hybrid amortizing adjustable-rate, and 1-year amortizing adjustable-rate mortgage products. The survey is based on first-lien prime conventional conforming mortgages with a loan-to-value of 80 percent. In addition, the adjustable-rate mortgage (ARM) products are indexed to U.S. Treasury yields and lenders are asked for both the initial coupon rate and points as well as the margin on the ARM products.  For more information, see http://www.freddiemac.com/pmms/abtpmms.htm. Freddie Mac was chartered by Congress in 1970 with a public mission to stabilize the nation's residential mortgage markets and expand opportunities for homeownership and affordable rental housing.",2016-03-19 02:40:27 UTC,12/31/15,8/30/91,"[""Week"", ""US Interest Rate"", ""Fees & Points"", ""Regional Rates: NE"", ""Regional Rates: SE"", ""Regional Rates: NC"", ""Regional Rates: SW"", ""Regional Rates: W"", ""Regional Fees/Points: NE"", ""Regional Fees/Points: SE"", ""Regional Fees/Points: NC"", ""Regional Fees/Points: SW"", ""Regional Fees/Points: W""]",weekly,Time Series,FALSE,582
4152359,ARM5YR,FMAC,5-Year Adjustable Rate,"Freddie Mac's Primary Mortgage Market Surveyå¨ (PMMSå¨) surveys lenders each week on the rates and points for their most popular 30-year fixed-rate, 15-year fixed-rate, 5/1 hybrid amortizing adjustable-rate, and 1-year amortizing adjustable-rate mortgage products. The survey is based on first-lien prime conventional conforming mortgages with a loan-to-value of 80 percent. In addition, the adjustable-rate mortgage (ARM) products are indexed to U.S. Treasury yields and lenders are asked for both the initial coupon rate and points as well as the margin on the ARM products.  For more information, see http://www.freddiemac.com/pmms/abtpmms.htm. Freddie Mac was chartered by Congress in 1970 with a public mission to stabilize the nation's residential mortgage markets and expand opportunities for homeownership and affordable rental housing.",2016-03-19 02:40:32 UTC,12/31/15,1/6/05,"[""Week"", ""US Interest Rate"", ""Fees & Points"", ""Margin"", ""Regional Rates: NE"", ""Regional Rates: SE"", ""Regional Rates: NC"", ""Regional Rates: SW"", ""Regional Rates: W"", ""Regional Fees/Points: NE"", ""Regional Fees/Points: SE"", ""Regional Fees/Points: NC"", ""Regional Fees/Points: SW"", ""Regional Fees/Points: W"", ""Regional Margins: NE"", ""Regional Margins: SE"", ""Regional Margins: NC"", ""Regional Margins: SW"", ""Regional Margins: W""]",weekly,Time Series,FALSE,582
4152363,ARM1YR,FMAC,1-Year Adjustable Rate,"Freddie Mac's Primary Mortgage Market Surveyå¨ (PMMSå¨) surveys lenders each week on the rates and points for their most popular 30-year fixed-rate, 15-year fixed-rate, 5/1 hybrid amortizing adjustable-rate, and 1-year amortizing adjustable-rate mortgage products. The survey is based on first-lien prime conventional conforming mortgages with a loan-to-value of 80 percent. In addition, the adjustable-rate mortgage (ARM) products are indexed to U.S. Treasury yields and lenders are asked for both the initial coupon rate and points as well as the margin on the ARM products.  For more information, see http://www.freddiemac.com/pmms/abtpmms.htm. Freddie Mac was chartered by Congress in 1970 with a public mission to stabilize the nation's residential mortgage markets and expand opportunities for homeownership and affordable rental housing.",2016-03-19 02:40:32 UTC,12/31/15,1/6/84,"[""Week"", ""US Interest Rate"", ""Fees & Points"", ""Margin"", ""Regional Rates: NE"", ""Regional Rates: SE"", ""Regional Rates: NC"", ""Regional Rates: SW"", ""Regional Rates: W"", ""Regional Fees/Points: NE"", ""Regional Fees/Points: SE"", ""Regional Fees/Points: NC"", ""Regional Fees/Points: SW"", ""Regional Fees/Points: W"", ""Regional Margins: NE"", ""Regional Margins: SE"", ""Regional Margins: NC"", ""Regional Margins: SW"", ""Regional Margins: W""]",weekly,Time Series,FALSE,582
4644570,5SW,FMAC,5/1-Year Adjustable Rate Mortgage Average in the Southwest Region,Units: Percent<br><br>Not Seasonally Adjusted,2016-03-23 04:12:02 UTC,12/31/15,1/6/05,"[""Date"", ""Value""]",weekly,Time Series,FALSE,582
4644571,15W,FMAC,15-Year Fixed Rate Mortgage Average in the West Region,Units: Percent<br><br>Not Seasonally Adjusted,2016-03-23 04:12:02 UTC,12/31/15,8/30/91,"[""Date"", ""Value""]",weekly,Time Series,FALSE,582
4644572,5SE,FMAC,5/1-Year Adjustable Rate Mortgage Average in the Southeast Region,Units: Percent<br><br>Not Seasonally Adjusted,2016-03-23 04:12:02 UTC,12/31/15,1/6/05,"[""Date"", ""Value""]",weekly,Time Series,FALSE,582
4644574,5NE,FMAC,5/1-Year Adjustable Rate Mortgage Average in the Northeast Region,Units: Percent<br><br>Not Seasonally Adjusted,2016-03-23 04:12:03 UTC,12/31/15,1/6/05,"[""Date"", ""Value""]",weekly,Time Series,FALSE,582
4644575,1SW,FMAC,1-Year Adjustable Rate Mortgage Average in the Southwest Region,Units: Percent<br><br>Not Seasonally Adjusted,2016-03-23 04:12:03 UTC,12/31/15,4/4/86,"[""Date"", ""Value""]",weekly,Time Series,FALSE,582
