Bend-Redmond, OR: 12.2%
Reno, NV: 11.6%
Merced, CA: 11.3%
Phoenix-Mesa-Scottsdale, AZ: 11.3%
Modesto, CA: 11.1%
Naples-Immokalee-Marco Island, FL: 10.9%
San Jose-Sunnyvale-Santa Clara, CA: 10.6%
San Francisco-Oakland-Hayward, CA: 10.6%
Las Vegas-Henderson-Paradise, NV: 10.6%
Vallejo-Fairfield, CA: 10.6%
Stockton-Lodi, CA: 10.6%
Cape Coral-Fort Myers, FL: 10.2%
Port St. Lucie, FL: 10.2%
North Port-Sarasota-Bradenton, FL: 9.8%
Napa, CA: 9.72%
Greeley, CO: 9.39%
Miami-Fort Lauderdale-West Palm Beach, FL: 9.32%
Boise City, ID: 9.23%
Santa Rosa, CA: 8.95%
Denver-Aurora-Lakewood, CO: 8.94%
Punta Gorda, FL: 8.88%
Riverside-San Bernardino-Ontario, CA: 8.73%
Sacramento--Roseville--Arden-Arcade, CA: 8.6%
Detroit-Warren-Dearborn, MI: 8.5%
Palm Bay-Melbourne-Titusville, FL: 8.41%
Salinas, CA: 8.4%
Carson City, NV: 8.39%
El Centro, CA: 8.33%
Austin-Round Rock, TX: 8.31%
Orlando-Kissimmee-Sanford, FL: 8.15%
Bismarck, ND: 8.09%
Prescott, AZ: 8.05%
Bakersfield, CA: 7.93%
Boulder, CO: 7.75%
Portland-Vancouver-Hillsboro, OR-WA: 7.74%
Tampa-St. Petersburg-Clearwater, FL: 7.57%
Lake Havasu City-Kingman, AZ: 7.55%
Santa Cruz-Watsonville, CA: 7.48%
Fort Collins, CO: 7.47%
Sebastian-Vero Beach, FL: 7.44%
Lakeland-Winter Haven, FL: 7.35%
Flint, MI: 7.34%
Kahului-Wailuku-Lahaina, HI: 7.3%
Seattle-Tacoma-Bellevue, WA: 7.25%
Atlanta-Sandy Springs-Roswell, GA: 7.22%
Yuba City, CA: 7.14%
Houston-The Woodlands-Sugar Land, TX: 7.08%
Deltona-Daytona Beach-Ormond Beach, FL: 7.04%
Dallas-Fort Worth-Arlington, TX: 6.86%
Los Angeles-Long Beach-Anaheim, CA: 6.74%
San Diego-Carlsbad, CA: 6.66%
Ann Arbor, MI: 6.66%
Madera, CA: 6.65%
St. George, UT: 6.55%
Odessa, TX: 6.54%
Grand Rapids-Wyoming, MI: 6.41%
Charleston-North Charleston, SC: 6.36%
Santa Maria-Santa Barbara, CA: 6.29%
Fresno, CA: 6.29%
Medford, OR: 6.28%
San Luis Obispo-Paso Robles-Arroyo Grande, CA: 6.27%
Midland, TX: 6.26%
Jackson, MI: 6.26%
Nashville-Davidson--Murfreesboro--Franklin, TN: 6.19%
Provo-Orem, UT: 6.19%
Sherman-Denison, TX: 6.15%
Grand Forks, ND-MN: 6.08%
Visalia-Porterville, CA: 6.04%
Salt Lake City, UT: 5.96%
Daphne-Fairhope-Foley, AL: 5.92%
Monroe, MI: 5.92%
Oxnard-Thousand Oaks-Ventura, CA: 5.89%
Muskegon, MI: 5.82%
Coeur d'Alene, ID: 5.81%
Fargo, ND-MN: 5.7%
Gainesville, GA: 5.65%
Redding, CA: 5.62%
Victoria, TX: 5.51%
Grants Pass, OR: 5.28%
Jacksonville, FL: 5.26%
Flagstaff, AZ: 5.23%
San Antonio-New Braunfels, TX: 5.17%
Urban Honolulu, HI: 5.11%
Fayetteville-Springdale-Rogers, AR-MO: 5.06%
The Villages, FL: 4.73%
Corpus Christi, TX: 4.72%
Ocala, FL: 4.69%
Pensacola-Ferry Pass-Brent, FL: 4.68%
Grand Island, NE: 4.67%
Wheeling, WV-OH: 4.62%
Charlotte-Concord-Gastonia, NC-SC: 4.6%
